Rank,2009,2016,,,2009,2016
"Constable, Male",4909,3751,,Constable,7125,5594
"Constable, Female",2216,1843,,Sergeant,1121,1059
"Sergeant, Male",879,790,,Inspector,384,304
"Sergeant, Female",242,269,,Chief inspector,63,75
"Inspector, Male",314,223,,Superintendent,45,39
"Inspector, Female",70,81,,Chief Superintendent,30,24
"Chief Inspector, Male",48,55,,Chief Officer,7,6
"Superintendent, Male",38,28,,,,
"Chief Inspector, Female",15,20,,,,
"Chief Superintendent, Male",26,17,,,,
"Superintendent, Female",7,11,,,,
"Chief Superintendent, Female",4,7,,,,
"Chief Officer, Male",6,4,,,,
"Chief Officer, Female",1,2,,,,
,,,,,,
,,,,,,
,,,,,,
,2009,2016,,,,
Constable,7125,5594,,,,
Sergeant,1121,1059,,,,
Inspector,384,304,,,,
Chief inspector,63,75,,,,
Superintendent,45,39,,,,
Chief Superintendent,30,24,,,,
Chief Officer,7,6,,,,
